the_geom,Carshare_C,Site_Reque,On_Street,From_,To,Address,Site_ID,Community,Side,borough,Lat,Long,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29
POINT (-73.9501 40.82975),Zipcar,New Site,Riverside,W 149th,W 150rd,"720 Riverside Dr, New York, NY 10031",M-Z 577,112,W,"Manhattan, NY",40.82975,-73.9501,,,,,,,,,,,,,,,,,
POINT (-73.9112 40.80822),Zipcar,New Site,E 142nd St,Jackson Ave,Powers Ave,"707 E 142nd St, Bronx, NY 10454",B-Z 502,201,E,"Bronx, NY",40.80822,-73.9112,,,,,,,,,,,,,,,,,
POINT (-73.910742 40.808948),Zipcar,New Site,Jackson Ave,E 144 St,E 143 St,"376 Jackson Ave, Bronx, NY 10454",B-Z 504,201,S,"Bronx, NY",40.808948,-73.910742,,,,,,,,,,,,,,,,,
POINT (-73.9208 40.81167),Zipcar,New Site,Willis Ave,E 143rd St,E 142 St,"354 Willis Ave, Bronx, NY 10454",B-Z 510,201,S,"Bronx, NY",40.81167,-73.9208,,,,,,,,,,,,,,,,,
POINT (-73.9246 40.81224),Zipcar,New Site,E 141st St,3rd Ave,Alexander Ave,"308 E 141st St, Bronx, NY 10454",B-Z 509,201,W,"Bronx, NY",40.81224,-73.9246,,,,,,,,,,,,,,,,,
POINT (-73.9067 40.8184),Zipcar,New Site,Jackson Ave,E 156 St,E 158 St,"748 Jackson Ave, Bronx, NY 10456",B-Z 514,201,S,"Bronx, NY",40.8184,-73.9067,,,,,,,,,,,,,,,,,
POINT (-73.891 40.80975),Zipcar,New Site,Worthen St,Oak Pt Ave,Randall Ave,"501 Worthen St, Bronx, NY 10474",B-Z 454,202,S,"Bronx, NY",40.80975,-73.891,,,,,,,,,,,,,,,,,
POINT (-73.88916 40.809976),Zipcar,New Site,Casanova St,Oak Point Ave,Randall Ave,"500 Casanova St, Bronx, NY 10474",B-Z 446,202,S,"Bronx, NY",40.809976,-73.88916,,,,,,,,,,,,,,,,,
POINT (-73.8917 40.81187),Zipcar,New Site,Worthen St,Truxton St,Randall Ave,"611 Worthen St, Bronx, NY 10474",B-Z 441,202,S,"Bronx, NY",40.81187,-73.8917,,,,,,,,,,,,,,,,,
POINT (-73.8894 40.81391),Zipcar,New Site,Spofford Ave,Barretto St,Casanova St,"1240 Spofford Ave, Bronx, NY 10474",B-Z 449,202,E,"Bronx, NY",40.81391,-73.8894,,,,,,,,,,,,,,,,,
